mode;id;GAE Title;GAE Story;;;;;;;;;
1;9469583;nor;side stories;robots;machins;toys;computer;1;picture;tools;birds;drowings
1;16523675;;;nothing;nothing;nothing;nothing;1;nothing;nothing;nothing;nothing
1;148452340;The Meteor Shower;"They sat underneath the old lean-to, waiting for nightfall. It would be at least an hour more before sunset, and another hour after that before tonight's meteor shower. Tom glanced at Andy. It'd been a couple of weeks since they'd last been out here. Andy didn't think the lean-to would still be standing; he was sure his father would have smashed it apart. But that would have required Andy's dad to come back out here, and Andy's dad wasn't the kind to revisit anything. Andy's mother-hell, both their mothers-would've burned down the whole forest to make their shame and embarrassment disappear. Andy looked at his watch. ""Only a couple more hours,"" he said. Tom looked over at Andy. ""You sure you trust that guy? I mean, he said he was an angel?"" Andy put his his hand on top of Tom's hand, and squeezed. ""He was the one that got us out of the camp, and there ain't no way he coulda done that if he wasn't an angel."" He leaned against Tom's shoulder. ""We just gotta stay out here, until the meteor shower is over. Then we'll be safe."" Tom glanced at the large bruise on Andy's jaw, and thought about the other bruises hidden underneath his clothes. ""I hope to God you're right. I... I'm sorry I made it come to this,"" Tom said, his voice soft, and scared. He could feel Andy smile radiate from beside him. ""For you, I'd fight the world."" Tom turned and kissed Andy on the top of his head. ""After tonight, it won't be needed.""";Robot;Future;AI;Metal;1;Girls;Decor;Pony;Outdoors
1;250522030;Love;"Today, while playing with my 20-month-old daughter, I pretended to be sleeping. She covered me with a blanket, patted my back, then kissed me gently on the mouth - which is exactly what I do when I tuck her in at night.This will be the first night of the rest of our lives. After 3 years dating long distance, a 12 month deployment to Iraq, and the rest of the time spent 3 states apart due to his serving in the Army, we are finally going to be together, permanently, in one place. So impress her upper- class friends, and to treat her in aristocratic locations, I had to do tuitions. I had given costly trinkets for birthdays, almost every month, but she had never given me anything.; except once. Six years back , one fine morning, when all our group members were busy in preparing for examination, she had given me an invitation card. I love you. I want to marry you. I want to be with you for the rest of my life. You are the most wonderful woman I have ever met. You are not a ""load."" You are not a ""troublemaker."" Yes, you have problems. So do I. And together, we can solve these problems more easily than if we were apart. Problems are a part of life. But so is happiness. Let's share our problems and happiness instead of experiencing them alone. We were going to get married, and now you want to be ""just friends."" Whatever I did or said that was wrong, please tell me so we can work this out. I don't want to lose you.";Television antenna;Post Box;Erection;Smily;1;Necklace;Butterfly;Green;Love
1;338284985;Love;"Love is a variety of different feelings, states, and attitudes that ranges from interpersonal affection (""I love my mother"") to pleasure (""I loved that meal""). It can refer to an emotion of a strong attraction and personal attachment. It can also be a virtue representing human kindness, compassion, and affection ""the unselfish loyal and benevolent concern for the good of another"". It may also describe compassionate and affectionate actions towards other humans, one's self or animals";Antenna;Cartoon;Satellite;Signal;1;Wallpaper;Top Rated Photos;Background;Display
1;364524796;meeting my old girl friend;On a day I had been to the nearest coffee shop and I was just waiting for the coffee to be brought to the table after giving the order. Actually it was in the evening just to have a coffee only for a relaxation purpose. I got my ordered coffee and had the first zip. I had been just running my eyes around the people in the shop and suddenly my eyes got entangled with one of the girls there having coffee. A very familiar face that was already imprinted in my mind before a long time. I could come to the complete realisation of that face within a few seconds. It was my girl friend in 10th class in my native place. Now she is also working for reputed company in Bangalore. It was an amazing event for me. It could change my whole life and gave a real meaning to the life. But after 8 years things came upside down. Here I would like to narrate an event that happened in my own life. Actually I was born and brought up in a well-to-do family with all its good tradition spiritually and socially. I was so loved and cared by my parents, cousins and the people around. I wished and prayed that I should get a very suitable life partner for my life. I married and started my life happily than ever in my life. I loved my life partner more than everything in my life. Days went on and as we reached on our first anniversary of our wedding I was betrayed by here. This was the eventful moment in my life. I feel sorry to say that she came to me on the previous night of our wedding anniversary with her divorce request. She told me that she likes someone else more than me. I was shocked and fell sick. Yes it was beyond my limit of suffering. This was the dangerous event in my life offered by my beloved first wife. This event could have its impact on my life to a great extent. I loved my wife to that extent that my life is impossible without her presence at all. But now how do I proceed with my life. I had thoughts on ending life, doing crimes, and the like. It simply meant that everything was upside down for me truly. But after a few days I attended a retreat and by this I came out of all these with the spiritual power. After this I could live for the truth and reality. But anyhow I could understand a lot about life and my personal life could teach me a lot of things truly. But my life was made truthful by the role played by coffeehouse. The coffee house where I used to have evening coffee could bring me many things. The coffee house is like a homely atmosphere for me because it gave many pleasant moments of life and at the same time it those moments were followed by distress and grief.;comic;robotic;human beings with antena;rain man;1;scenery;colourful imange;human beings in the hut;fantastic animals
1;377677328;My Initial Days;This was the time when I got a new job. I was not well acquainted with my work. There was a lot of politics going on in the office. I had to face this office politics because I was new. I felt very much sad and impatient. At the same time I felt very much lonely. I felt as if I am cut off from my colleagues. Most of my colleagues were not ready to talk with me.;antenna;worm;robot;skeleton;1;butterfly;heart;star;horse
1;393218219;;;robot;technology;emotions;metal;1;animals;photographs;nature;colourfull
1;419923465;Intelligence;A crow was thirsty. It saw a pot with little water. To get the water to rise up it put some stones inside the pot. The water level increased. The crow drank the water and flew away happily.;Toys;Robots;Antenna;Human-controlled;1;Pictures;Designs;Clarity;Paintings
1;451649963;love;one boy and girl fall into love . he gave her flowers ,ring he and went for some hotel;antina;robo;bomb;speaker;1;snake;butterfly;frog;horse
